category,sub category,sub sub category,product name,product code,hsn code,tax,active (1/0),Features,page title,meta keywords,meta description,Size 1,Price 1,Discounted Price 1,Available Quantity 1,Color 1,Size 2,Price 2,Discounted Price 2,Available Quantity 2,Color 2,Size 3,Price 3,Discounted Price 3,Available Quantity 3,Color 3,Size 4,Price 4,Discounted Price 4,Available Quantity 4,Color 4,Size 5,Price 5,Discounted Price 5,Available Quantity 5,Color 5,Attribute
Store,Baskets,,Duro Basket,duro,7323,18,1,,,,,Small,799,599,10,Lilac,Small,799,599,10,Mint,Small,799,599,10,Pink,,,,,,,,,,,
Store,Baskets,,Duro Basket,duro,7323,18,1,,,,,Medium,799,599,10,Lilac,Medium,799,599,10,Mint,Medium,799,599,10,Pink,,,,,,,,,,,
